"Turnover ;  New South Wales ;  Supermarket and grocery stores ;"
Bal-82;303,1
Geg-82;297,8
Bir-82;298
Lie-82;307,9
Rgp-1982;299,2
Rgs-1982;305,4
Spl-1982;318
Lap-82;334,4
Grd-1982;389,6
Sau-83;311,4
Vas-83;327,2
Kov-83;350,9
Bal-83;323,4
Geg-83;316,6
Bir-83;325,4
Lie-83;323,1
Rgp-1983;338,1
Rgs-1983;330,6
Spl-1983;351,1
Lap-83;361,5
Grd-1983;430,9
Sau-84;333,2
Vas-84;343,3
Kov-84;344,8
Bal-84;345,9
Geg-84;352
Bir-84;348,9
Lie-84;348,6
Rgp-1984;374,6
Rgs-1984;345,7
Spl-1984;373,5
Lap-84;378,7
Grd-1984;432,6
Sau-85;376,4
Vas-85;352
Kov-85;371,8
Bal-85;366,6
Geg-85;391
Bir-85;369,4
Lie-85;423,8
Rgp-1985;401,9
Rgs-1985;388,6
Spl-1985;420
Lap-85;422,5
Grd-1985;481,3
Sau-86;420,7
Vas-86;392,9
Kov-86;419,4
Bal-86;415
Geg-86;440
Bir-86;418,8
Lie-86;451,9
Rgp-1986;446,2
Rgs-1986;444,3
Spl-1986;458,6
Lap-86;454,7
Grd-1986;528,1
Sau-87;466,4
Vas-87;430,5
Kov-87;447,7
Bal-87;455,5
Geg-87;459,8
Bir-87;443,2
Lie-87;460,1
Rgp-1987;463,6
Rgs-1987;459,8
Spl-1987;478,9
Lap-87;478,7
Grd-1987;565,4
Sau-88;479,2
Vas-88;467,2
Kov-88;501,1
Bal-88;484,6
Geg-88;481,2
Bir-88;482,9
Lie-88;479,2
Rgp-1988;494,5
Rgs-1988;508,6
Spl-1988;509,2
Lap-88;535,8
Grd-1988;627,7
Sau-89;507,8
Vas-89;503,2
Kov-89;578,3
Bal-89;546,5
Geg-89;540,7
Bir-89;546,9
Lie-89;549,5
Rgp-1989;570,1
Rgs-1989;575,8
Spl-1989;556,1
Lap-89;586,8
Grd-1989;702
Sau-90;563,1
Vas-90;558,2
Kov-90;608,8
Bal-90;570,2
Geg-90;596,2
Bir-90;605,4
Lie-90;594,8
Rgp-1990;644,1
Rgs-1990;604,4
Spl-1990;630,1
Lap-90;665,7
Grd-1990;737,9
Sau-91;677,9
Vas-91;617,3
Kov-91;672,3
Bal-91;623,1
Geg-91;666,9
Bir-91;621,1
Lie-91;657,7
Rgp-1991;711
Rgs-1991;639,2
Spl-1991;696,7
Lap-91;701,9
Grd-1991;772,1
